index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
226,0x4803c00000000000,9,ECI_CMD_MRSP_PSHA,33097048530,0,0,15,0,,,0,,0,4,0,5,0,0,,0,,0
227,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,33097048829,8200,,0,,,1,,,1,0,8200,7,,,0,4,0,
228,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,33097048831,8100,,0,,,1,,,1,0,8100,7,,,0,4,0,
229,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,33097048833,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
230,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,33097048835,8300,,0,,,1,,,0,0,8300,7,,,0,4,0,
231,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,33097048837,8600,,0,,,1,,,16,0,8600,7,,,0,4,0,
232,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,33097048839,8500,,0,,,1,,,16,0,8500,7,,,0,4,0,
233,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,33097048905,8200,0,15,0,,,0,,1,4,8200,5,0,0,,0,,0
234,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,33097048927,8100,0,15,0,,,0,,1,4,8100,5,0,0,,0,,0
235,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,33097048949,8400,0,15,0,,,0,,17,4,8400,5,0,0,,0,,0
236,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,33097048971,8300,0,15,0,,,0,,0,4,8300,5,0,0,,0,,0
237,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,33097048993,8600,0,15,0,,,0,,16,4,8600,5,0,0,,0,,0
238,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,33097049015,8500,0,15,0,,,0,,16,4,8500,5,0,0,,0,,0
239,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,33097049107,8000,,15,,,1,,,1,0,8000,7,,,0,0,0,
240,0x580be40000008100,11,ECI_CMD_MFWD_FEVX_EH,33097049379,8100,,15,,2,1,,1,,5,8100,9,0,,0,0,,
241,0x5813e40000008200,11,ECI_CMD_MFWD_FEVX_EH,33097049381,8200,,15,,4,1,,1,,5,8200,9,0,,0,0,,
242,0x581be40000008300,11,ECI_CMD_MFWD_FEVX_EH,33097049383,8300,,15,,6,1,,1,,5,8300,9,0,,0,0,,
243,0x5823e40000008400,11,ECI_CMD_MFWD_FEVX_EH,33097049385,8400,,15,,8,1,,1,,5,8400,9,0,,0,0,,
244,0x582be40000008500,11,ECI_CMD_MFWD_FEVX_EH,33097049387,8500,,15,,10,1,,1,,5,8500,9,0,,0,0,,
245,0x5833e40000008600,11,ECI_CMD_MFWD_FEVX_EH,33097049389,8600,,15,,12,1,,1,,5,8600,9,0,,0,0,,
246,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,33097049457,8100,,15,,2,1,,,,2,8100,5,,,,0,,0
247,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,33097049461,8200,,15,,4,1,,,,2,8200,5,,,,0,,0
248,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,33097049465,8300,,15,,6,1,,,,2,8300,5,,,,0,,0
249,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,33097049469,8400,,15,,8,1,,,,2,8400,5,,,,0,,0
250,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,33097049473,8600,,15,,12,1,,,,2,8600,5,,,,0,,0
251,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,33097049477,8500,,15,,10,1,,,,2,8500,5,,,,0,,0
252,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,33097049734,8000,0,15,0,,,0,,1,4,8000,5,0,0,,0,,0
253,0x7003e40000000000,14,ECI_CMD_MFWD_SINV_H,33097049959,0,,15,,0,1,,1,,5,0,9,0,,0,0,,
254,0x2000200000000000,4,ECI_CMD_MRSP_HAKD,33097050026,0,,0,,0,1,,,,1,0,11,,,,0,,0
255,0x3807e00000008000,7,ECI_CMD_MREQ_RC2D_S,33097050374,8000,,15,,,1,,,1,0,8000,7,,,0,0,0,
256,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,33097050388,8100,,0,,,1,,,0,0,8100,7,,,0,4,0,
257,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,33097050390,8200,,0,,,1,,,0,0,8200,7,,,0,4,0,
258,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,33097050392,8300,,0,,,1,,,0,0,8300,7,,,0,4,0,
259,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,33097050394,8400,,0,,,1,,,17,0,8400,7,,,0,4,0,
260,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,33097050396,8500,,0,,,1,,,17,0,8500,7,,,0,4,0,
261,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,33097050398,8600,,0,,,1,,,17,0,8600,7,,,0,4,0,
262,0x5004000000008000,10,ECI_CMD_MRSP_PEMD,33097050400,8000,0,0,0,,,0,,1,3,8000,11,0,0,,0,,0
263,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,33097050474,8100,0,15,0,,,0,,0,4,8100,5,0,0,,0,,0
264,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,33097050496,8200,0,15,0,,,0,,0,4,8200,5,0,0,,0,,0
