Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
899,3,0,00045b5d616d,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
900,4,0,00045b5d616e,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
901,5,0,00045b5d616f,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
902,6,0,00045b5d6170,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
903,7,0,00045b5d6171,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
904,8,0,00045b5d6172,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
905,9,0,00045b5d6173,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
906,10,0,00045b5d6174,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
907,11,0,00045b5d6175,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
908,12,0,00045b5d6176,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
909,13,0,00045b5d6177,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
910,14,0,00045b5d6178,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
911,15,0,00045b5d6179,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e0000000000006559,0000000000000000,0,0,0,"_","_"
912,0,1,00045b77dcd2,80fe00000000ef610087d3e473ff0100000000000000000002ff91a063feff1452f600000000000080feff3a200000000060dd8691a0631452f4d3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
913,1,0,00045b77dcd3,00000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
914,2,0,00045b77dcd4,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
915,3,0,00045b77dcd5,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
916,4,0,00045b77dcd6,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
917,5,0,00045b77dcd7,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
918,6,0,00045b77dcd8,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
919,7,0,00045b77dcd9,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
920,8,0,00045b77dcda,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
921,9,0,00045b77dcdb,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
922,10,0,00045b77dcdc,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
923,11,0,00045b77dcdd,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
