Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
822,6,0,000ff78e2061,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
823,7,0,000ff78e2062,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
824,0,0,00100b399569,00000000000000000000000000000000000000000000000052f40200040600080100060891a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
825,1,1,00100b39956a,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
826,2,0,00100b39956b,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
827,3,0,00100b39956c,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
828,4,0,00100b39956d,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
829,5,0,00100b39956e,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
830,6,0,00100b39956f,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
831,7,0,00100b399570,000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a06314,0000000000000000,0,0,0,"_","_"
832,0,0,0010d3c91cdb,000000000000000000000000000000000000000000000000a8c0febfa8c0c0bda8c0febfa8c0c0bd11400040c27a1b010045000891a0631452f4ffffffffffff,0000000000000000,0,0,0,"_","_"
833,1,1,0010d3c91cdc,3836312e3239313a5043543d4449000000023246435420c00701fe05fe05ffbfa8c0febfa8c0c0bd11400040c27a1b010045000891a0631452f4ffffffffffff,ffffffffffffffff,0,1,0,"Active","Stream Beat"
834,2,0,0010d3c91cdd,000000000000000000000000000000003d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,0000000000000000,0,0,0,"_","_"
835,3,0,0010d3c91cde,786e696c69583d656d614e00693c803a3d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,0000000000000000,0,0,0,"_","_"
836,4,0,0010d3c91cdf,2d35322d302e30312e352078756e694c3d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,ffffffffffffffff,0,1,0,"Active","Stream Beat"
837,5,0,0010d3c91ce0,3330366465393463613762312d383664382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,ffffffffffffffff,0,1,0,"Active","Stream Beat"
838,6,0,0010d3c91ce1,00000000000000000000000000000000000000000000000067616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,0000000000000000,0,0,0,"_","_"
839,7,0,0010d3c91ce2,2d323935342d383636322d33386464366238363d4449726567616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,ffffffffffffffff,0,1,0,"Active","Stream Beat"
840,0,0,0010ec21ec66,000000000000000000000000000000000000000000000000462d3431535a070b462d3431535a070b04a1e473fb9000040702cc88d3e473fb90000e0000c28001,0000000000000000,0,0,0,"_","_"
841,1,1,0010ec21ec67,206572617774666f532043694e4f538c0c316661656c050a7800020631414750462d3431535a070b04a1e473fb9000040702cc88d3e473fb90000e0000c28001,ffffffffffffffff,0,1,0,"Active","Stream Beat"
842,2,0,0010ec21ec68,00000000000000000000000000000000313432312e33323830333230322d79747269642d3339393434332e3530333230322e43694e4f53203a6e6f6973726556,0000000000000000,0,0,0,"_","_"
843,3,0,0010ec21ec69,6576616d203a756b537748202d203934313432312e33323830333230322d79747269642d3339393434332e3530333230322e43694e4f53203a6e6f6973726556,ffffffffffffffff,0,1,0,"Active","Stream Beat"
844,4,0,0010ec21ec6a,00040e3436646d612d322d38312d302e30312e35203a6c656e72654b202d20372e3131206e6169626544203a6e6f69747562697274736944202d20736b636972,ffffffffffffffff,0,1,0,"Active","Stream Beat"
845,5,0,0010ec21ec6b,000000000000000000000000000000000000000000000000000002010000000000000000000000000000fd0211181000050000000201017ff001050c1014009c,0000000000000000,0,0,0,"_","_"
846,6,0,0010ec21ec6c,30303120414750462034316c6c6f747365757a1b08000500000002010000000000000000000000000000fd0211181000050000000201017ff001050c1014009c,ffffffffffffffff,0,1,0,"Active","Stream Beat"
847,7,0,0010ec21ec6d,0000000000000000000000000000001e000000000000001e000000009beab9aa00000b00008000010f120009fe0000000001030f120009fe312074726f702047,00000000ffffffff,0,1,1,"Active","Last Stream"
848,0,0,0011f3eb6b9a,0000000000000000000000000000000000023246435420c00701fe05fe05ffbfa8c0febfa8c0e3b2114000409f851b010045000891a0631452f4ffffffffffff,0000000000000000,0,0,0,"_","_"
849,1,1,0011f3eb6b9b,3836312e3239313a5043543d4449000000023246435420c00701fe05fe05ffbfa8c0febfa8c0e3b2114000409f851b010045000891a0631452f4ffffffffffff,ffffffffffffffff,0,1,0,"Active","Stream Beat"
850,2,0,0011f3eb6b9c,2d35322d302e30312e352078756e694c3d656d614e534f0072657672655320657261776472614820786e696c69583d656d614e00693c803a3435322e3139312e,ffffffffffffffff,0,1,0,"Active","Stream Beat"
851,3,0,0011f3eb6b9d,0000000000000000000000000000000000000000000000003636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,0000000000000000,0,0,0,"_","_"
852,4,0,0011f3eb6b9e,3330366465393463613762312d383664382d323935342d383636322d33386464366238363d4449746e65674100746f6f723d656d614e72657355003436646d61,ffffffffffffffff,0,1,0,"Active","Stream Beat"
853,5,0,0011f3eb6b9f,000000000000000036322d33386464366238363d4449726567616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,0000000000000000,0,0,0,"_","_"
854,6,0,0011f3eb6ba0,2d323935342d383636322d33386464366238363d4449726567616e614d6563697672655300693c803d74726f50005043543d656d614e74726f70736e61725400,ffffffffffffffff,0,1,0,"Active","Stream Beat"
855,7,0,0011f3eb6ba1,000000000000001e000000000000001e000000ff908db8003435322e3139312e3836312e3239313d74736f4800302d3330366465393463613762312d38366438,000001ffffffffff,0,1,1,"Active","Last Stream"
