Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
487,487,0,0007e00000008100,11,05,2,0000000a0f98f900,1,0
488,488,0,5043c00000008500,11,05,4,0000000a0f98f905,1,0
489,489,0,0007e00000008200,11,05,2,0000000a0f98f916,1,0
490,490,0,5043c00000008600,11,05,4,0000000a0f98f91b,1,0
491,491,0,0007e00000008300,11,05,2,0000000a0f98f92c,1,0
492,492,0,0007e00000008400,11,05,2,0000000a0f98f943,1,0
493,493,0,0007e00000008500,11,05,2,0000000a0f98f956,1,0
494,494,0,0007e00000008600,11,05,2,0000000a0f98f96e,1,0
495,495,0,0003e00000008000,01,07,0,0000000a0f98f97b,1,0
496,496,0,4803c00000008000,11,05,4,0000000a0f98facd,1,0
497,497,0,7003e40000000000,01,09,5,0000000a0f98fbad,1,0
498,498,0,2000200000000000,01,0b,1,0000000a0f98fbf0,1,0
499,499,0,3803e00000008000,01,07,0,0000000a0f98fd4e,1,0
500,500,0,2800300000008100,01,07,0,0000000a0f98fd5b,1,0
501,501,0,2800300000008200,01,07,0,0000000a0f98fd5d,1,0
502,502,0,2804300000008300,01,07,0,0000000a0f98fd5f,1,0
503,503,0,2840300000008400,01,07,0,0000000a0f98fd61,1,0
504,504,0,2844300000008500,01,07,0,0000000a0f98fd63,1,0
505,505,0,2844300000008600,01,07,0,0000000a0f98fd65,1,0
506,506,0,5000000000008000,01,0b,3,0000000a0f98fd67,1,0
507,507,0,5003c00000008100,11,05,4,0000000a0f98fdb2,1,0
508,508,0,5003c00000008200,11,05,4,0000000a0f98fdc8,1,0
509,509,0,5007c00000008300,11,05,4,0000000a0f98fdde,1,0
510,510,0,5043c00000008400,11,05,4,0000000a0f98fdf4,1,0
511,511,0,0007e00000008100,11,05,2,0000000a0f98fe05,1,0
512,512,0,5047c00000008500,11,05,4,0000000a0f98fe0a,1,0
513,513,0,0007e00000008200,11,05,2,0000000a0f98fe1b,1,0
514,514,0,5047c00000008600,11,05,4,0000000a0f98fe20,1,0
515,515,0,0007e00000008300,11,05,2,0000000a0f98fe31,1,0
516,516,0,0007e00000008400,11,05,2,0000000a0f98fe47,1,0
517,517,0,0007e00000008500,11,05,2,0000000a0f98fe5e,1,0
518,518,0,0007e00000008600,11,05,2,0000000a0f98fe73,1,0
519,519,0,5803e40000008000,01,09,5,0000000a0f98feb4,1,0
520,520,0,1803e00000008000,11,05,2,0000000a0f98ff04,1,0
521,521,0,0003e00000000000,01,07,0,0000000a0f990030,1,0
522,522,0,4803c00000000000,11,05,4,0000000a0f990100,1,0
523,523,0,2800300000008100,01,07,0,0000000a0f99021e,1,0
524,524,0,2800300000008200,01,07,0,0000000a0f990220,1,0
525,525,0,2800300000008300,01,07,0,0000000a0f990222,1,0
526,526,0,2844300000008400,01,07,0,0000000a0f990224,1,0
527,527,0,2840300000008500,01,07,0,0000000a0f990226,1,0
528,528,0,2844300000008600,01,07,0,0000000a0f990228,1,0
