Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
421,421,0,0007e00000008280,11,04,2,00000010362235c6,1,0
422,422,0,5043c00000008580,11,04,4,00000010362235e1,1,0
423,423,0,0007e00000008380,11,04,2,00000010362235ea,1,0
424,424,0,5047c00000008680,11,04,4,0000001036223604,1,0
425,425,0,0007e00000008480,11,04,2,000000103622360a,1,0
426,426,0,0007e00000008580,11,04,2,000000103622362f,1,0
427,427,0,0007e00000008680,11,04,2,0000001036223655,1,0
428,428,0,0003e00000008080,01,06,0,000000103622365c,1,0
429,429,0,4803c00000008080,11,04,4,00000010362238b4,1,0
430,430,0,3803e00000008080,01,06,0,0000001036223b42,1,0
431,431,0,2800300000008180,01,06,0,0000001036223b59,1,0
432,432,0,2800300000008280,01,06,0,0000001036223b5c,1,0
433,433,0,2804300000008380,01,06,0,0000001036223b5f,1,0
434,434,0,2840300000008480,01,06,0,0000001036223b62,1,0
435,435,0,2840300000008580,01,06,0,0000001036223b65,1,0
436,436,0,2847f00000008680,01,06,0,0000001036223b68,1,0
437,437,0,5000000000008080,01,0a,3,0000001036223b90,1,0
438,438,0,5003c00000008180,11,04,4,0000001036223c19,1,0
439,439,0,5003c00000008280,11,04,4,0000001036223c3c,1,0
440,440,0,5007c00000008380,11,04,4,0000001036223c5f,1,0
441,441,0,0007e00000008180,11,04,2,0000001036223c68,1,0
442,442,0,5043c00000008480,11,04,4,0000001036223c83,1,0
443,443,0,0007e00000008280,11,04,2,0000001036223c8c,1,0
444,444,0,5043c00000008580,11,04,4,0000001036223ca6,1,0
445,445,0,0007e00000008380,11,04,2,0000001036223cad,1,0
446,446,0,5047c00000008680,11,04,4,0000001036223cca,1,0
447,447,0,0007e00000008480,11,04,2,0000001036223cd0,1,0
448,448,0,0007e00000008580,11,04,2,0000001036223cf6,1,0
449,449,0,0007e00000008680,11,04,2,0000001036223d1b,1,0
450,450,0,5807e40000008080,01,08,5,0000001036223db4,1,0
451,451,0,1807e00000008080,11,04,2,0000001036223e01,1,0
452,452,0,2800300000008180,01,06,0,0000001036224216,1,0
453,453,0,2800300000008280,01,06,0,0000001036224219,1,0
454,454,0,2804300000008380,01,06,0,000000103622421c,1,0
455,455,0,2844300000008480,01,06,0,000000103622421f,1,0
456,456,0,2844300000008580,01,06,0,0000001036224222,1,0
457,457,0,2847f00000008680,01,06,0,0000001036224225,1,0
458,458,0,5003c00000008180,11,04,4,00000010362242d3,1,0
459,459,0,5003c00000008280,11,04,4,00000010362242f7,1,0
460,460,0,5007c00000008380,11,04,4,000000103622431a,1,0
461,461,0,0007e00000008180,11,04,2,0000001036224320,1,0
462,462,0,5047c00000008480,11,04,4,000000103622433d,1,0
463,463,0,0007e00000008280,11,04,2,0000001036224345,1,0
464,464,0,5047c00000008580,11,04,4,0000001036224361,1,0
465,465,0,0007e00000008380,11,04,2,000000103622436a,1,0
466,466,0,5047c00000008680,11,04,4,0000001036224384,1,0
467,467,0,0007e00000008480,11,04,2,000000103622438d,1,0
468,468,0,0007e00000008580,11,04,2,00000010362243b0,1,0
469,469,0,0007e00000008680,11,04,2,00000010362243d3,1,0
470,470,0,0007e00000008080,01,06,0,00000010362243d8,1,0
471,471,0,4807c00000008080,11,04,4,000000103622462e,1,0
472,472,0,7007e40000000080,01,08,5,0000001036224743,1,0
473,473,0,2004200000000080,01,0a,1,0000001036224788,1,0
474,474,0,3807e00000008080,01,06,0,00000010362249d4,1,0
475,475,0,2800300000008180,01,06,0,00000010362249ec,1,0
476,476,0,2804300000008280,01,06,0,00000010362249ef,1,0
477,477,0,2800300000008380,01,06,0,00000010362249f2,1,0
478,478,0,2840300000008480,01,06,0,00000010362249f5,1,0
479,479,0,2844300000008580,01,06,0,00000010362249f8,1,0
480,480,0,2843f00000008680,01,06,0,00000010362249fb,1,0
481,481,0,5004000000008080,01,0a,3,0000001036224a22,1,0
482,482,0,5003c00000008180,11,04,4,0000001036224aa9,1,0
483,483,0,5007c00000008280,11,04,4,0000001036224acd,1,0
484,484,0,5003c00000008380,11,04,4,0000001036224af0,1,0
485,485,0,0007e00000008180,11,04,2,0000001036224af6,1,0
486,486,0,5043c00000008480,11,04,4,0000001036224b14,1,0
487,487,0,0007e00000008280,11,04,2,0000001036224b1c,1,0
488,488,0,5047c00000008580,11,04,4,0000001036224b37,1,0
489,489,0,0007e00000008380,11,04,2,0000001036224b40,1,0
490,490,0,5043c00000008680,11,04,4,0000001036224b5a,1,0
491,491,0,0007e00000008480,11,04,2,0000001036224b64,1,0
492,492,0,0007e00000008580,11,04,2,0000001036224b86,1,0
493,493,0,0007e00000008680,11,04,2,0000001036224ba9,1,0
494,494,0,5807e40000008080,01,08,5,0000001036224c4b,1,0
495,495,0,1807e00000008080,11,04,2,0000001036224c98,1,0
496,496,0,0003e00000000080,01,06,0,0000001036224e7d,1,0
497,497,0,4803c00000000080,11,04,4,000000103622505a,1,0
498,498,0,2800300000008180,01,06,0,0000001036225211,1,0
499,499,0,2804300000008280,01,06,0,0000001036225214,1,0
500,500,0,2804300000008380,01,06,0,0000001036225217,1,0
501,501,0,2840300000008480,01,06,0,000000103622521a,1,0
502,502,0,2844300000008580,01,06,0,000000103622521d,1,0
503,503,0,2843f00000008680,01,06,0,0000001036225220,1,0
504,504,0,5003c00000008180,11,04,4,00000010362252be,1,0
505,505,0,5007c00000008280,11,04,4,00000010362252e2,1,0
506,506,0,5007c00000008380,11,04,4,0000001036225305,1,0
507,507,0,0007e00000008180,11,04,2,000000103622530e,1,0
508,508,0,5043c00000008480,11,04,4,0000001036225328,1,0
509,509,0,0007e00000008280,11,04,2,0000001036225332,1,0
510,510,0,5047c00000008580,11,04,4,000000103622534c,1,0
511,511,0,0007e00000008380,11,04,2,0000001036225352,1,0
512,512,0,5043c00000008680,11,04,4,000000103622536f,1,0
513,513,0,0007e00000008480,11,04,2,0000001036225378,1,0
514,514,0,0007e00000008580,11,04,2,000000103622539c,1,0
515,515,0,0007e00000008680,11,04,2,00000010362253c0,1,0
516,516,0,0007e00000008080,01,06,0,00000010362253d2,1,0
517,517,0,4807c00000008080,11,04,4,0000001036225629,1,0
518,518,0,7007e40000000080,01,08,5,0000001036225789,1,0
519,519,0,2004200000000080,01,0a,1,00000010362257ce,1,0
520,520,0,3803e00000008080,01,06,0,00000010362259f9,1,0
521,521,0,2804300000008180,01,06,0,0000001036225a0e,1,0
522,522,0,2800300000008280,01,06,0,0000001036225a11,1,0
523,523,0,2800300000008380,01,06,0,0000001036225a14,1,0
524,524,0,2840300000008480,01,06,0,0000001036225a17,1,0
525,525,0,2840300000008580,01,06,0,0000001036225a1a,1,0
526,526,0,2847f00000008680,01,06,0,0000001036225a1d,1,0
527,527,0,5000000000008080,01,0a,3,0000001036225a47,1,0
528,528,0,5007c00000008180,11,04,4,0000001036225acd,1,0
529,529,0,0000000000000000,00,00,0,0000000000000000,1,0
530,530,0,0000000000000000,00,00,0,0000000000000000,1,0
531,531,0,0000000000000000,00,00,0,0000000000000000,1,0
532,532,0,0000000000000000,00,00,0,0000000000000000,1,0
533,533,0,0000000000000000,00,00,0,0000000000000000,1,0
534,534,0,0000000000000000,00,00,0,0000000000000000,1,0
535,535,0,0000000000000000,00,00,0,0000000000000000,1,0
536,536,0,0000000000000000,00,00,0,0000000000000000,1,0
537,537,0,0000000000000000,00,00,0,0000000000000000,1,0
538,538,0,0000000000000000,00,00,0,0000000000000000,1,0
539,539,0,0000000000000000,00,00,0,0000000000000000,1,0
540,540,0,0000000000000000,00,00,0,0000000000000000,1,0
541,541,0,0000000000000000,00,00,0,0000000000000000,1,0
542,542,0,0000000000000000,00,00,0,0000000000000000,1,0
543,543,0,0000000000000000,00,00,0,0000000000000000,1,0
544,544,0,0000000000000000,00,00,0,0000000000000000,1,0
545,545,0,0000000000000000,00,00,0,0000000000000000,1,0
546,546,0,0000000000000000,00,00,0,0000000000000000,1,0
547,547,0,0000000000000000,00,00,0,0000000000000000,1,0
548,548,0,0000000000000000,00,00,0,0000000000000000,1,0
549,549,0,0000000000000000,00,00,0,0000000000000000,1,0
550,550,0,0000000000000000,00,00,0,0000000000000000,1,0
551,551,0,0000000000000000,00,00,0,0000000000000000,1,0
552,552,0,0000000000000000,00,00,0,0000000000000000,1,0
553,553,0,0000000000000000,00,00,0,0000000000000000,1,0
554,554,0,0000000000000000,00,00,0,0000000000000000,1,0
555,555,0,0000000000000000,00,00,0,0000000000000000,1,0
556,556,0,0000000000000000,00,00,0,0000000000000000,1,0
557,557,0,0000000000000000,00,00,0,0000000000000000,1,0
558,558,0,0000000000000000,00,00,0,0000000000000000,1,0
559,559,0,0000000000000000,00,00,0,0000000000000000,1,0
560,560,0,0000000000000000,00,00,0,0000000000000000,1,0
561,561,0,0000000000000000,00,00,0,0000000000000000,1,0
562,562,0,0000000000000000,00,00,0,0000000000000000,1,0
563,563,0,0000000000000000,00,00,0,0000000000000000,1,0
564,564,0,0000000000000000,00,00,0,0000000000000000,1,0
565,565,0,0000000000000000,00,00,0,0000000000000000,1,0
566,566,0,0000000000000000,00,00,0,0000000000000000,1,0
567,567,0,0000000000000000,00,00,0,0000000000000000,1,0
568,568,0,0000000000000000,00,00,0,0000000000000000,1,0
