Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
411,411,0,0003ec0000000280,01,06,0,0000000e5e981358,1,0
412,412,0,4803c00000000280,11,04,4,0000000e5e981406,1,0
413,413,0,0007ec0000000380,01,06,0,0000000e5e981560,1,0
414,414,0,4807c00000000380,11,04,4,0000000e5e98160c,1,0
415,415,0,0047ec0000000480,01,06,0,0000000e5e981765,1,0
416,416,0,4847c00000000480,11,04,4,0000000e5e981812,1,0
417,417,0,0047ec0000000580,01,06,0,0000000e5e98196a,1,0
418,418,0,4847c00000000580,11,04,4,0000000e5e981a17,1,0
419,419,0,700fe40000000180,01,08,5,0000000e5e981ff0,1,0
420,420,0,7017e40000000280,01,08,5,0000000e5e981ff2,1,0
421,421,0,701fe40000000380,01,08,5,0000000e5e981ff7,1,0
422,422,0,7027e40000000480,01,08,5,0000000e5e981ff9,1,0
423,423,0,702fe40000000580,01,08,5,0000000e5e981ffd,1,0
424,424,0,200c200000000180,01,0a,1,0000000e5e982034,1,0
425,425,0,2014200000000280,01,0a,1,0000000e5e982037,1,0
426,426,0,201c200000000380,01,0a,1,0000000e5e98203a,1,0
427,427,0,2024200000000480,01,0a,1,0000000e5e98203d,1,0
428,428,0,202c200000000580,01,0a,1,0000000e5e982040,1,0
429,429,0,7007e40000000080,01,08,5,0000000e5e9820e0,1,0
430,430,0,2004200000000080,01,0a,1,0000000e5e982122,1,0
431,431,0,3803e00000008080,01,06,0,0000000e5eb22811,1,0
432,432,0,2800300000008180,01,06,0,0000000e5eb2282a,1,0
433,433,0,2804300000008280,01,06,0,0000000e5eb22830,1,0
434,434,0,2800300000008380,01,06,0,0000000e5eb22833,1,0
435,435,0,2840300000008480,01,06,0,0000000e5eb22836,1,0
436,436,0,2844300000008580,01,06,0,0000000e5eb22839,1,0
437,437,0,2847f00000008680,01,06,0,0000000e5eb2283c,1,0
438,438,0,5000000000008080,01,0a,3,0000000e5eb2285f,1,0
439,439,0,5003c00000008180,11,04,4,0000000e5eb228ea,1,0
440,440,0,5007c00000008280,11,04,4,0000000e5eb2290d,1,0
441,441,0,5003c00000008380,11,04,4,0000000e5eb22930,1,0
442,442,0,0007e00000008180,11,04,2,0000000e5eb22938,1,0
443,443,0,5043c00000008480,11,04,4,0000000e5eb22954,1,0
444,444,0,0007e00000008280,11,04,2,0000000e5eb2295d,1,0
445,445,0,5047c00000008580,11,04,4,0000000e5eb22977,1,0
446,446,0,0007e00000008380,11,04,2,0000000e5eb22980,1,0
447,447,0,5047c00000008680,11,04,4,0000000e5eb2299b,1,0
448,448,0,0007e00000008480,11,04,2,0000000e5eb229a4,1,0
449,449,0,0007e00000008580,11,04,2,0000000e5eb229c5,1,0
450,450,0,0007e00000008680,11,04,2,0000000e5eb229ec,1,0
451,451,0,5807e40000008080,01,08,5,0000000e5eb22a85,1,0
452,452,0,1807e00000008080,11,04,2,0000000e5eb22ad0,1,0
453,453,0,0003e00000000080,01,06,0,0000000e5eb28c80,1,0
454,454,0,4803c00000000080,11,04,4,0000000e5eb28e0e,1,0
455,455,0,0003ec0000000180,01,06,0,0000000e5eb28fc9,1,0
456,456,0,4803c00000000180,11,04,4,0000000e5eb29076,1,0
457,457,0,0003ec0000000280,01,06,0,0000000e5eb291ce,1,0
458,458,0,4803c00000000280,11,04,4,0000000e5eb2927b,1,0
459,459,0,0003ec0000000380,01,06,0,0000000e5eb293d3,1,0
460,460,0,4803c00000000380,11,04,4,0000000e5eb29480,1,0
461,461,0,0047ec0000000480,01,06,0,0000000e5eb295d8,1,0
462,462,0,4847c00000000480,11,04,4,0000000e5eb29685,1,0
463,463,0,0043ec0000000580,01,06,0,0000000e5eb297df,1,0
464,464,0,4843c00000000580,11,04,4,0000000e5eb2988c,1,0
465,465,0,0047ec0000000680,01,06,0,0000000e5eb299e6,1,0
466,466,0,4847c00000000680,11,04,4,0000000e5eb29a93,1,0
467,467,0,700fe40000000180,01,08,5,0000000e5eb29f8f,1,0
468,468,0,7017e40000000280,01,08,5,0000000e5eb29f91,1,0
469,469,0,701fe40000000380,01,08,5,0000000e5eb29f96,1,0
470,470,0,7027e40000000480,01,08,5,0000000e5eb29f98,1,0
471,471,0,702fe40000000580,01,08,5,0000000e5eb29f9c,1,0
