index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
507,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579842099,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
508,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579842102,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
509,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579842107,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
510,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579842110,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
511,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,93579842591,,257,257,0,15,0,,,0,0,4,,4,0,0,,0,,0
512,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,93579843225,0x0000008080,,,,15,,,1,,0,0,0x0000008080,6,,,0,0,0,
513,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,93579843247,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
514,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,93579843249,0x0000008180,,,,0,,,1,,1,0,0x0000008180,6,,,0,4,0,
515,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579843251,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
516,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,93579843253,0x0000008380,,,,0,,,1,,1,0,0x0000008380,6,,,0,4,0,
517,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579843255,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
518,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,93579843257,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
519,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,93579843303,,257,257,0,0,0,,,0,0,3,,10,0,0,,0,,0
520,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,93579843438,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
521,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,93579843474,,259,259,0,15,0,,,0,1,4,,4,0,0,,0,,0
522,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,93579843509,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
523,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,93579843545,,263,263,0,15,0,,,0,1,4,,4,0,0,,0,,0
524,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,93579843580,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
525,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,93579843615,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
526,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,93579843910,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
527,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579844231,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
528,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579844236,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
529,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579844240,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
530,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579844243,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
531,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579844247,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
532,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579844251,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
533,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,93579845380,0x0000008680,,,,15,,,1,,17,0,0x0000008680,6,,,0,4,0,
534,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579845384,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
535,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,93579845386,0x0000008180,,,,0,,,1,,1,0,0x0000008180,6,,,0,4,0,
536,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579845388,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
537,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,93579845390,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
538,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,93579845392,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
539,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,93579845552,,269,269,0,15,0,,,0,17,4,,4,0,0,,0,,0
540,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,93579845588,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
541,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,93579845623,,259,259,0,15,0,,,0,1,4,,4,0,0,,0,,0
542,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,93579845659,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
543,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,93579845694,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
544,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,93579845730,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
33,0x0007e00000008080,0,ECI_CMD_MREQ_RLDD,93579845818,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
34,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579846356,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
35,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579846360,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
36,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579846363,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
37,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579846368,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
38,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579846371,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
39,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579846377,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
40,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,93579846854,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
41,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,93579847268,0x0000000080,,,,0,,1,1,,,1,0x0000000080,10,,,,0,,0
42,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,93579847854,0x0000008080,,,,15,,,1,,0,0,0x0000008080,6,,,0,0,0,
43,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,93579847874,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
44,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,93579847876,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
45,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,93579847878,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
46,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,93579847880,0x0000008380,,,,0,,,1,,1,0,0x0000008380,6,,,0,4,0,
47,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579847882,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
48,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,93579847884,0x0000008580,,,,0,,,1,,17,0,0x0000008580,6,,,0,4,0,
49,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,93579847933,,257,257,0,0,0,,,0,0,3,,10,0,0,,0,,0
50,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,93579848064,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
51,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,93579848100,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
