Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
209,209,0,2844300000008400,01,07,0,0000000d859cb7bd,1,0
210,210,0,2840300000008600,01,07,0,0000000d859cb7bf,1,0
211,211,0,2840300000008500,01,07,0,0000000d859cb7c1,1,0
212,212,0,5007c00000008100,11,05,4,0000000d859cb803,1,0
213,213,0,5007c00000008200,11,05,4,0000000d859cb819,1,0
214,214,0,5003c00000008300,11,05,4,0000000d859cb82f,1,0
215,215,0,5047c00000008400,11,05,4,0000000d859cb845,1,0
216,216,0,5043c00000008600,11,05,4,0000000d859cb85b,1,0
217,217,0,5043c00000008500,11,05,4,0000000d859cb871,1,0
218,218,0,0003e00000008000,01,07,0,0000000d859cb8c9,1,0
219,219,0,180be00000008100,11,05,2,0000000d859cba26,1,0
220,220,0,1813e00000008200,11,05,2,0000000d859cba2a,1,0
221,221,0,181be00000008300,11,05,2,0000000d859cba2e,1,0
222,222,0,1823e00000008400,11,05,2,0000000d859cba32,1,0
223,223,0,182be00000008500,11,05,2,0000000d859cba36,1,0
224,224,0,1833e00000008600,11,05,2,0000000d859cba3a,1,0
225,225,0,4803c00000008000,11,05,4,0000000d859cbb34,1,0
226,226,0,3807e00000008000,01,07,0,0000000d859cbcdd,1,0
227,227,0,2804300000008100,01,07,0,0000000d859cbceb,1,0
228,228,0,2808300000008200,01,07,0,0000000d859cbced,1,0
229,229,0,2804300000008300,01,07,0,0000000d859cbcef,1,0
230,230,0,2844300000008400,01,07,0,0000000d859cbcf1,1,0
231,231,0,2840300000008500,01,07,0,0000000d859cbcf3,1,0
232,232,0,2840300000008600,01,07,0,0000000d859cbcf5,1,0
233,233,0,5004000000008000,01,0b,3,0000000d859cbcf7,1,0
234,234,0,5007c00000008100,11,05,4,0000000d859cbd42,1,0
235,235,0,500bc00000008200,11,05,4,0000000d859cbd58,1,0
236,236,0,5007c00000008300,11,05,4,0000000d859cbd6e,1,0
