Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
327,327,0,5043c00000008480,11,04,4,0000000d859c8df4,1,0
328,328,0,5047c00000008580,11,04,4,0000000d859c8e0a,1,0
329,329,0,0003e00000008080,01,06,0,0000000d859c8e60,1,0
330,330,0,180fe00000008180,11,04,2,0000000d859c8fb3,1,0
331,331,0,1817e00000008280,11,04,2,0000000d859c8fb7,1,0
332,332,0,181fe00000008380,11,04,2,0000000d859c8fbb,1,0
333,333,0,1827e00000008480,11,04,2,0000000d859c8fbf,1,0
334,334,0,182fe00000008580,11,04,2,0000000d859c8fc3,1,0
335,335,0,1837e00000008680,11,04,2,0000000d859c8fc7,1,0
336,336,0,4803c00000008080,11,04,4,0000000d859c90c6,1,0
337,337,0,0003e00000000080,01,06,0,0000000d859c9130,1,0
338,338,0,4803c00000000080,11,04,4,0000000d859c9230,1,0
339,339,0,3803e00000008080,01,06,0,0000000d859c934f,1,0
340,340,0,2843f00000008680,01,06,0,0000000d859c935b,1,0
341,341,0,2800300000008180,01,06,0,0000000d859c935d,1,0
342,342,0,2808300000008280,01,06,0,0000000d859c935f,1,0
343,343,0,2804300000008380,01,06,0,0000000d859c9361,1,0
344,344,0,2844300000008480,01,06,0,0000000d859c9363,1,0
345,345,0,2840300000008580,01,06,0,0000000d859c9365,1,0
346,346,0,5000000000008080,01,0a,3,0000000d859c9367,1,0
347,347,0,5043c00000008680,11,04,4,0000000d859c93b4,1,0
348,348,0,5003c00000008180,11,04,4,0000000d859c93ca,1,0
349,349,0,500bc00000008280,11,04,4,0000000d859c93e0,1,0
350,350,0,5007c00000008380,11,04,4,0000000d859c93f6,1,0
351,351,0,5047c00000008480,11,04,4,0000000d859c940c,1,0
352,352,0,5043c00000008580,11,04,4,0000000d859c9422,1,0
353,353,0,1807e00000008080,11,04,2,0000000d859c9502,1,0
354,354,0,180fe00000008180,11,04,2,0000000d859c95ca,1,0
355,355,0,1817e00000008280,11,04,2,0000000d859c95ce,1,0
356,356,0,181fe00000008380,11,04,2,0000000d859c95d2,1,0
357,357,0,1827e00000008480,11,04,2,0000000d859c95d6,1,0
358,358,0,182fe00000008580,11,04,2,0000000d859c95da,1,0
359,359,0,1837e00000008680,11,04,2,0000000d859c95de,1,0
360,360,0,2004200000000080,01,0a,1,0000000d859c97fa,1,0
361,361,0,2843f00000008680,01,06,0,0000000d859c996f,1,0
362,362,0,2804300000008180,01,06,0,0000000d859c9971,1,0
363,363,0,2800300000008280,01,06,0,0000000d859c9973,1,0
364,364,0,2800300000008380,01,06,0,0000000d859c9975,1,0
365,365,0,2840300000008480,01,06,0,0000000d859c9977,1,0
366,366,0,2840300000008580,01,06,0,0000000d859c9979,1,0
367,367,0,5043c00000008680,11,04,4,0000000d859c99bd,1,0
368,368,0,5007c00000008180,11,04,4,0000000d859c99d3,1,0
369,369,0,5003c00000008280,11,04,4,0000000d859c99e9,1,0
370,370,0,5003c00000008380,11,04,4,0000000d859c99ff,1,0
371,371,0,5043c00000008480,11,04,4,0000000d859c9a15,1,0
372,372,0,5043c00000008580,11,04,4,0000000d859c9a2b,1,0
373,373,0,0003e00000008080,01,06,0,0000000d859c9a81,1,0
374,374,0,180fe00000008180,11,04,2,0000000d859c9bd4,1,0
375,375,0,1817e00000008280,11,04,2,0000000d859c9bd8,1,0
376,376,0,181fe00000008380,11,04,2,0000000d859c9bdc,1,0
377,377,0,1827e00000008480,11,04,2,0000000d859c9be0,1,0
378,378,0,182fe00000008580,11,04,2,0000000d859c9be4,1,0
379,379,0,1837e00000008680,11,04,2,0000000d859c9be8,1,0
380,380,0,4803c00000008080,11,04,4,0000000d859c9ce7,1,0
381,381,0,0003e00000000080,01,06,0,0000000d859c9d50,1,0
382,382,0,4803c00000000080,11,04,4,0000000d859c9e51,1,0
383,383,0,3803e00000008080,01,06,0,0000000d859c9f78,1,0
384,384,0,2847f00000008680,01,06,0,0000000d859c9f84,1,0
385,385,0,2804300000008180,01,06,0,0000000d859c9f86,1,0
386,386,0,2804300000008280,01,06,0,0000000d859c9f88,1,0
387,387,0,2844300000008480,01,06,0,0000000d859c9f8a,1,0
388,388,0,2800300000008380,01,06,0,0000000d859c9f8c,1,0
389,389,0,2840300000008580,01,06,0,0000000d859c9f8e,1,0
390,390,0,5000000000008080,01,0a,3,0000000d859c9f90,1,0
391,391,0,5047c00000008680,11,04,4,0000000d859c9fdd,1,0
392,392,0,5007c00000008180,11,04,4,0000000d859c9ff3,1,0
393,393,0,5007c00000008280,11,04,4,0000000d859ca009,1,0
394,394,0,5047c00000008480,11,04,4,0000000d859ca01f,1,0
395,395,0,5003c00000008380,11,04,4,0000000d859ca035,1,0
396,396,0,5043c00000008580,11,04,4,0000000d859ca04b,1,0
397,397,0,1807e00000008080,11,04,2,0000000d859ca12a,1,0
398,398,0,180fe00000008180,11,04,2,0000000d859ca1f0,1,0
399,399,0,1817e00000008280,11,04,2,0000000d859ca1f4,1,0
400,400,0,181fe00000008380,11,04,2,0000000d859ca1f8,1,0
401,401,0,1827e00000008480,11,04,2,0000000d859ca1fc,1,0
402,402,0,182fe00000008580,11,04,2,0000000d859ca200,1,0
403,403,0,1837e00000008680,11,04,2,0000000d859ca204,1,0
404,404,0,2004200000000080,01,0a,1,0000000d859ca419,1,0
405,405,0,2843f00000008680,01,06,0,0000000d859ca58f,1,0
406,406,0,2804300000008180,01,06,0,0000000d859ca591,1,0
407,407,0,2808300000008280,01,06,0,0000000d859ca593,1,0
408,408,0,2800300000008380,01,06,0,0000000d859ca595,1,0
409,409,0,2840300000008480,01,06,0,0000000d859ca597,1,0
410,410,0,2840300000008580,01,06,0,0000000d859ca599,1,0
411,411,0,5043c00000008680,11,04,4,0000000d859ca5e7,1,0
412,412,0,5007c00000008180,11,04,4,0000000d859ca5fd,1,0
413,413,0,500bc00000008280,11,04,4,0000000d859ca613,1,0
414,414,0,5003c00000008380,11,04,4,0000000d859ca629,1,0
415,415,0,5043c00000008480,11,04,4,0000000d859ca63f,1,0
