Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
337,337,0,0007e00000008580,11,04,2,000000344a1d0ed4,1,0
338,338,0,0003e00000008080,01,06,0,000000344a1d0ef7,1,0
339,339,0,0007e00000008680,11,04,2,000000344a1d0ef9,1,0
340,340,0,4803c00000008080,11,04,4,000000344a1d1142,1,0
341,341,0,3807e00000008080,01,06,0,000000344a1d139e,1,0
342,342,0,2800300000008180,01,06,0,000000344a1d13b2,1,0
343,343,0,2804300000008280,01,06,0,000000344a1d13b7,1,0
344,344,0,2800300000008380,01,06,0,000000344a1d13ba,1,0
345,345,0,2840300000008480,01,06,0,000000344a1d13bd,1,0
346,346,0,2840300000008580,01,06,0,000000344a1d13c0,1,0
347,347,0,2843f00000008680,01,06,0,000000344a1d13c3,1,0
348,348,0,5004000000008080,01,0a,3,000000344a1d13f0,1,0
349,349,0,5003c00000008180,11,04,4,000000344a1d1470,1,0
350,350,0,5007c00000008280,11,04,4,000000344a1d1494,1,0
351,351,0,5003c00000008380,11,04,4,000000344a1d14b7,1,0
352,352,0,0007e00000008180,11,04,2,000000344a1d14c0,1,0
353,353,0,5043c00000008480,11,04,4,000000344a1d14db,1,0
354,354,0,0007e00000008280,11,04,2,000000344a1d14e5,1,0
355,355,0,5043c00000008580,11,04,4,000000344a1d14fe,1,0
356,356,0,0007e00000008380,11,04,2,000000344a1d1508,1,0
357,357,0,5043c00000008680,11,04,4,000000344a1d1521,1,0
358,358,0,0007e00000008480,11,04,2,000000344a1d152c,1,0
359,359,0,0007e00000008580,11,04,2,000000344a1d154f,1,0
360,360,0,0007e00000008680,11,04,2,000000344a1d1570,1,0
361,361,0,5807e40000008080,01,08,5,000000344a1d160d,1,0
362,362,0,1807e00000008080,11,04,2,000000344a1d165d,1,0
363,363,0,0003e00000000080,01,06,0,000000344a1d1844,1,0
364,364,0,4803c00000000080,11,04,4,000000344a1d19cf,1,0
365,365,0,2800300000008180,01,06,0,000000344a1d1b87,1,0
366,366,0,2804300000008280,01,06,0,000000344a1d1b8a,1,0
367,367,0,2800300000008380,01,06,0,000000344a1d1b8d,1,0
368,368,0,2840300000008480,01,06,0,000000344a1d1b90,1,0
369,369,0,2840300000008580,01,06,0,000000344a1d1b93,1,0
370,370,0,2843f00000008680,01,06,0,000000344a1d1b96,1,0
371,371,0,5003c00000008180,11,04,4,000000344a1d1c46,1,0
372,372,0,5007c00000008280,11,04,4,000000344a1d1c6a,1,0
373,373,0,5003c00000008380,11,04,4,000000344a1d1c8d,1,0
374,374,0,0007e00000008180,11,04,2,000000344a1d1c95,1,0
