Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
234,234,0,2840300000008500,01,07,0,0000002073809519,1,0
235,235,0,2844300000008600,01,07,0,000000207380951b,1,0
236,236,0,5004000000008000,01,0b,3,000000207380951d,1,0
237,237,0,5007c00000008100,11,05,4,000000207380955d,1,0
238,238,0,5003c00000008200,11,05,4,0000002073809573,1,0
239,239,0,5003c00000008300,11,05,4,0000002073809589,1,0
240,240,0,5043c00000008400,11,05,4,000000207380959f,1,0
241,241,0,0007e00000008100,11,05,2,00000020738095af,1,0
242,242,0,5043c00000008500,11,05,4,00000020738095b5,1,0
243,243,0,0007e00000008200,11,05,2,00000020738095c6,1,0
244,244,0,5047c00000008600,11,05,4,00000020738095cb,1,0
245,245,0,0007e00000008300,11,05,2,00000020738095db,1,0
246,246,0,0007e00000008400,11,05,2,00000020738095f1,1,0
247,247,0,0007e00000008500,11,05,2,0000002073809606,1,0
248,248,0,0007e00000008600,11,05,2,000000207380961e,1,0
249,249,0,5803e40000008000,01,09,5,000000207380966f,1,0
250,250,0,1803e00000008000,11,05,2,00000020738096bc,1,0
251,251,0,2804300000008100,01,07,0,0000002073809938,1,0
252,252,0,2800300000008200,01,07,0,000000207380993a,1,0
253,253,0,2804300000008300,01,07,0,000000207380993c,1,0
254,254,0,2844300000008400,01,07,0,000000207380993e,1,0
255,255,0,2840300000008500,01,07,0,0000002073809940,1,0
256,256,0,2844300000008600,01,07,0,0000002073809942,1,0
257,257,0,5007c00000008100,11,05,4,0000002073809984,1,0
258,258,0,5003c00000008200,11,05,4,000000207380999d,1,0
259,259,0,5007c00000008300,11,05,4,00000020738099b3,1,0
260,260,0,5047c00000008400,11,05,4,00000020738099c9,1,0
261,261,0,0007e00000008100,11,05,2,00000020738099d5,1,0
262,262,0,5043c00000008500,11,05,4,00000020738099df,1,0
263,263,0,0007e00000008200,11,05,2,00000020738099ed,1,0
264,264,0,5047c00000008600,11,05,4,00000020738099f5,1,0
265,265,0,0007e00000008300,11,05,2,0000002073809a05,1,0
266,266,0,0007e00000008400,11,05,2,0000002073809a1b,1,0
267,267,0,0007e00000008500,11,05,2,0000002073809a32,1,0
268,268,0,0007e00000008600,11,05,2,0000002073809a47,1,0
269,269,0,0007e00000008000,01,07,0,0000002073809a50,1,0
270,270,0,4807c00000008000,11,05,4,0000002073809ba1,1,0
271,271,0,3803e00000008000,01,07,0,0000002073809d54,1,0
272,272,0,2804300000008100,01,07,0,0000002073809d62,1,0
273,273,0,2800300000008200,01,07,0,0000002073809d64,1,0
274,274,0,2804300000008300,01,07,0,0000002073809d66,1,0
275,275,0,2840300000008400,01,07,0,0000002073809d68,1,0
276,276,0,2840300000008500,01,07,0,0000002073809d6a,1,0
277,277,0,2840300000008600,01,07,0,0000002073809d6c,1,0
278,278,0,5000000000008000,01,0b,3,0000002073809d6c,1,0
279,279,0,5007c00000008100,11,05,4,0000002073809dae,1,0
280,280,0,5003c00000008200,11,05,4,0000002073809dc7,1,0
281,281,0,5007c00000008300,11,05,4,0000002073809ddd,1,0
282,282,0,5043c00000008400,11,05,4,0000002073809df3,1,0
283,283,0,0007e00000008100,11,05,2,0000002073809e00,1,0
284,284,0,5043c00000008500,11,05,4,0000002073809e09,1,0
285,285,0,0007e00000008200,11,05,2,0000002073809e19,1,0
286,286,0,5043c00000008600,11,05,4,0000002073809e1f,1,0
287,287,0,0007e00000008300,11,05,2,0000002073809e2f,1,0
288,288,0,0007e00000008400,11,05,2,0000002073809e44,1,0
289,289,0,0007e00000008500,11,05,2,0000002073809e5a,1,0
290,290,0,0007e00000008600,11,05,2,0000002073809e71,1,0
291,291,0,5803e40000008000,01,09,5,0000002073809ec2,1,0
292,292,0,1803e00000008000,11,05,2,0000002073809f0f,1,0
293,293,0,2804300000008100,01,07,0,000000207380a1c4,1,0
294,294,0,2800300000008200,01,07,0,000000207380a1c6,1,0
295,295,0,2800300000008300,01,07,0,000000207380a1c8,1,0
296,296,0,2844300000008400,01,07,0,000000207380a1ca,1,0
297,297,0,2840300000008500,01,07,0,000000207380a1cc,1,0
298,298,0,2844300000008600,01,07,0,000000207380a1ce,1,0
299,299,0,5007c00000008100,11,05,4,000000207380a210,1,0
300,300,0,5003c00000008200,11,05,4,000000207380a226,1,0
